stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,level_id
ITOAUTO125526,,"Guignonville",48.398678,2.209846,2,,0,ITOAUTO125463,
ITOAUTO125529,,"LEP Mandela",48.433979,2.139985,2,,0,ITOAUTO101542,
ITOAUTO125533,,"Grand Bourg",48.641834,2.434018,2,,0,ITOAUTO125451,
ITOAUTO125600,,"Chêne Rond",48.639397,2.209985,1,,0,ITOAUTO125599,
ITOAUTO125637,,"Philippe Auguste",48.857956,2.390114,1,Europe/Paris,,,
ITOAUTO125699,3,"r. Claude Decaen",48.833237,2.401356,0,,2,ITOAUTO79137,
ITOAUTO125701,4,"pl. du Cardinal Lavigerie",48.833069,2.401685,0,,2,ITOAUTO79137,
ITOAUTO125702,5,"r. Bourgon / av. d'Italie",48.822842,2.358189,0,,2,PARIS9475,
ITOAUTO125703,4,"r. de la Vistule",48.823002,2.358379,0,,2,PARIS9475,
ITOAUTO125715,,"Portes des Lilas",48.876518,2.407840,2,Europe/Paris,,,
ITOAUTO125716,,"Jaurès",48.921303,2.278114,1,,0,ITOAUTO79358,
ITOAUTO125733,,"Gallieni",48.715115,2.443392,2,,0,ITOAUTO125731,
ITOAUTO125735,,"Gare de Montgeron-Crosne",48.708057,2.462140,2,Europe/Paris,,,
ITOAUTO129329,,"Foyer Flamant",48.898422,2.590054,2,,0,ITOAUTO78233,
ITOAUTO125737,,"Chevilly - Larue​",48.759571,2.365511,1,Europe/Paris,,,
ITOAUTO125740,,"Prince de Wagram",48.706566,2.541874,2,,0,PARIS4804,
ITOAUTO125742,,"Gare de Montgeron-Crosne",48.707943,2.462481,2,Europe/Paris,,,
ITOAUTO125744,,"Gallieni",48.714771,2.443286,2,,0,ITOAUTO125731,
ITOAUTO125765,,"Rond-Point de Mondétour",48.683594,2.188655,1,,0,ITOAUTO121377,
ITOAUTO125767,,"Ferrer - Gutenberg",48.888447,2.406545,2,,0,ITOAUTO74589,
ITOAUTO125769,,"Joineau - Péri",48.885574,2.404041,2,,0,ITOAUTO125462,
ITOAUTO125772,,"Ferrer - Gutenberg",48.888195,2.406875,2,,0,ITOAUTO74589,
ITOAUTO125773,,"Rond-Point de Mondétour",48.684078,2.188661,1,,0,ITOAUTO121377,
ITOAUTO125831,,"Gare d'Orsay - Mairie - Hôpital",48.698803,2.187550,2,,0,ITOAUTO81275,
ITOAUTO125832,,"Eiffel",48.625885,1.824643,2,,0,ITOAUTO80696,
ITOAUTO125833,,"Pierre Fite",48.640892,1.821278,2,,0,PARIS3125,
ITOAUTO125835,,"Gare de Palaiseau - Édouard Branly",48.716476,2.248523,2,Europe/Paris,,,
ITOAUTO125837,,"Gare de Bures-sur-Yvette - Université",48.699059,2.163412,2,,0,PARIS93360,
ITOAUTO125838,,"Gare de Bures-sur-Yvette - Université",48.698719,2.163676,2,,0,PARIS93360,
ITOAUTO125843,,"Saint-Michel - Saint-Germain",48.852009,2.343276,2,Europe/Paris,,,
ITOAUTO125846,,"Luxembourg",48.845715,2.340262,2,Europe/Paris,,,
ITOAUTO125867,,"Mairie de l'Haÿ-les-Roses",48.780228,2.337007,2,,0,ITOAUTO78555,
ITOAUTO125869,,"Gare de Rosny - Bois-Perrier",48.883541,2.480905,1,Europe/Paris,,,
ITOAUTO125870,,"Liberté",48.881596,2.429286,0,,0,ITOAUTO119595,
ITOAUTO125871,,"Gare de Rosny - Bois-Perrier",48.883926,2.480792,1,Europe/Paris,,,
ITOAUTO125872,,"Quai de Clichy",48.909977,2.303347,1,,0,ITOAUTO79901,
ITOAUTO125876,,"Gare de Chaville Rive Droite",48.811863,2.187416,0,,0,ITOAUTO78403,
ITOAUTO125877,,"Porte Maillot - Grande Armée",48.876961,2.284809,2,Europe/Paris,,,
ITOAUTO125878,,"Porte Maillot - Grande Armée",48.877045,2.285067,2,Europe/Paris,,,
ITOAUTO125879,,"Gare du Vésinet - Le Pecq Carnot",48.896740,2.121348,1,Europe/Paris,,,
ITOAUTO125880,,"Gare de Rosny - Bois-Perrier",48.883457,2.480865,2,Europe/Paris,,,
ITOAUTO125882,,"Gare de Rosny-Bois Perrier",48.883728,2.480971,2,Europe/Paris,,,
ITOAUTO125884,,"Paul Bert",48.900051,2.567002,2,,0,PARIS11626,
ITOAUTO125887,,"Romainville - Résistance",48.882172,2.433056,2,,0,ITOAUTO119890,
ITOAUTO125890,,"Gare de Rueil-Malmaison",48.887169,2.171655,1,Europe/Paris,,,
ITOAUTO125891,,"Gare de Rueil-Malmaison",48.886906,2.170036,1,Europe/Paris,,,
ITOAUTO125892,,"Mairie de Chatou",48.889446,2.157858,1,,0,ITOAUTO81630,
