route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
8818,12,VJ4380522ee107596669516d4ed4d956b500b335f8,"Aéroport d'Orly","",1,1,0
8818,12,VJbcaa60f8501bfe90e2becb5c99068d8b1b3e8c00,"Aéroport d'Orly","",1,1,0
8818,12,VJ54414aca53a5c51de9359a33458e15952d94b965,"Aéroport d'Orly","",1,1,0
8818,12,VJ71aa0cc849d0d0d1e086e6abda08f1c6d49cb6d1,"Aéroport d'Orly","",1,1,0
8818,12,VJ683c3974dc0e5c4c83b5ea5232288252bc827817,"Aéroport d'Orly","",1,1,0
8818,12,VJdf09b957ff1face168f8f20c54de654c0cd33902,"Aéroport d'Orly","",1,1,0
8818,12,VJde09cbf80fc36bd253611fd2cb3708a5bd7b3746,"Aéroport d'Orly","",1,1,0
8818,92,VJbe6b58874ca493ee15fc39c8ca18fd5c1ee02e2d,"Aéroport d'Orly","",1,1,0
8818,12,VJ52c4f8500529b0b88b64154119b2937d367360f7,"Aéroport d'Orly","",1,1,0
8818,92,VJ5f1b1779f9fa9bb5eb2b7cba844b04df83df808b,"Aéroport d'Orly","",1,1,0
8818,12,VJ4229a7fd4b3b3f4d45b0413d2eeb3bac3717eab9,"Aéroport d'Orly","",1,1,0
8818,12,VJ97e8f5ebb5609b674209da29176f5f31bf86fd83,"Aéroport d'Orly","",1,1,0
8818,178,VJ5ef945029e87f4871e2e0ffbb2130448d5b64319,"Aéroport d'Orly","",1,1,0
8818,12,VJd038adab9b0fb233187fe14fec01404c2a398698,"Aéroport d'Orly","",1,1,0
8818,12,VJc3bfe9402d28e4c1f4afdf4cc862abc36f7221a6,"Aéroport d'Orly","",1,1,0
8818,12,VJf2f727b4dd844136501fc482dea662cb94a7469d,"Aéroport d'Orly","",1,1,0
8818,12,VJ934efb958256477639157f77bb47de0301028c3b,"Aéroport d'Orly","",1,1,0
8818,12,VJ4efdb80b07472b9c6cc48e2ab5ccd4c69db49c51,"Aéroport d'Orly","",1,1,0
8818,12,VJe1785218110fb6e85363c4ea991bf62d1b9b836e,"Aéroport d'Orly","",1,1,0
8818,12,VJbe3313a15a3cbc9aa8f52d81c8c1425e5c9152ba,"Aéroport d'Orly","",1,1,0
8818,12,VJ6e3b9642a41f7f8abc894a67ad2f7da911a81abd,"Aéroport d'Orly","",1,1,0
8818,12,VJba3432c89ae13c4345d41a61a6d4309a938e8877,"Aéroport d'Orly","",1,1,0
8818,92,VJa7556127906340780f813135606a3053e62c8a5e,"Aéroport d'Orly","",1,1,0
8818,12,VJcb2e786a20af538ca9dc9e62b797b2ac841a1aca,"Aéroport d'Orly","",1,1,0
8818,12,VJc71cc9909ab613301cbaa84d66d38a00bedb1db7,"Aéroport d'Orly","",1,1,0
8818,12,VJ14053e0f1fe6de5f36770ab2932d3551357720dc,"Aéroport d'Orly","",1,1,0
8818,12,VJd25d6497680e57e28ee1f7265f05e31a59c9613c,"Aéroport d'Orly","",1,1,0
8818,12,VJ0d15c2df2876f768f8803c618dc06b663bda816e,"Aéroport d'Orly","",1,1,0
8818,12,VJ8406e41c1e9e0ed28359bdd238579ebfef591b3c,"Aéroport d'Orly","",1,1,0
8818,175,VJe210e1d9c28782a01bab550745c3e07da403902d,"Aéroport d'Orly","",1,1,0
8818,12,VJ9f7449aeeb337ffd8895d6c3378faa0138479509,"Aéroport d'Orly","",1,1,0
8818,12,VJf156397009d4ff798f4a7f82657c31bf449c5ea2,"Aéroport d'Orly","",1,1,0
8818,12,VJc86b61c2a4e33b1330e5335887b51e508e8d8128,"Aéroport d'Orly","",1,1,0
8818,12,VJ520d6d229a35f320cc013ed27d583c48bee12c51,"Aéroport d'Orly","",1,1,0
8818,12,VJ4ecceb9327f660b2ebe9e8fb8b72098abbd24455,"Aéroport d'Orly","",1,1,0
8818,175,VJ7ae2fa3b30b6af6939455a9871669474604f4caf,"Aéroport d'Orly","",1,1,0
8818,92,VJcec3f02a7e15a4609fcebfe5f0b41d1c98b760d3,"Aéroport d'Orly","",1,1,0
8818,12,VJfa1fca1d6336c32e216b14edd42a44f3f628cb00,"Aéroport d'Orly","",1,1,0
