source,target,airline,departure_ts,arrival_ts,distance,delay
FLL,SFO,VX,2015-01-02T17:47:00,2015-01-02T20:37:00,2583,12.0
SAN,SFO,VX,2015-01-02T17:36:00,2015-01-02T19:05:00,447,1.0
OAK,SEA,WN,2015-01-02T17:36:00,2015-01-02T19:35:00,671,1.0
OKC,STL,WN,2015-01-02T19:28:00,2015-01-02T20:40:00,462,113.0
PHX,BUF,WN,2015-01-02T18:13:00,2015-01-03T00:08:00,1912,38.0
BUR,SJC,WN,2015-01-02T17:28:00,2015-01-02T18:28:00,296,-7.0
DAL,MCI,WN,2015-01-02T17:43:00,2015-01-02T19:03:00,460,8.0
EWR,STL,WN,2015-01-02T18:17:00,2015-01-02T20:11:00,872,42.0
FNT,BWI,WN,2015-01-02T17:34:00,2015-01-02T18:54:00,452,-1.0
TPA,BWI,WN,2015-01-02T18:17:00,2015-01-02T20:14:00,842,42.0
JAX,ATL,WN,2015-01-02T18:41:00,2015-01-02T20:23:00,270,66.0
LAS,SNA,WN,2015-01-02T17:43:00,2015-01-02T18:37:00,226,8.0
MDW,DAL,WN,2015-01-02T17:34:00,2015-01-02T20:03:00,793,-1.0
MDW,MCI,WN,2015-01-02T19:06:00,2015-01-02T20:29:00,405,91.0
MSY,DCA,WN,2015-01-02T17:59:00,2015-01-02T21:14:00,969,24.0
RSW,MKE,WN,2015-01-02T18:01:00,2015-01-02T19:53:00,1183,26.0
SJC,PDX,WN,2015-01-02T17:51:00,2015-01-02T19:36:00,569,16.0
SLC,PHX,WN,2015-01-02T17:57:00,2015-01-02T19:21:00,507,22.0
LAX,OGG,AA,2015-01-02T17:22:00,2015-01-02T21:17:00,2486,-13.0
ORD,LGA,AA,2015-01-02T17:30:00,2015-01-02T20:15:00,733,-5.0
DEN,DFW,AA,2015-01-02T20:27:00,2015-01-02T23:38:00,641,172.0
ORD,DFW,AA,2015-01-02T17:37:00,2015-01-02T20:32:00,802,2.0
ELP,DFW,AA,2015-01-02T18:53:00,2015-01-02T21:40:00,551,78.0
DFW,LAX,AA,2015-01-02T18:11:00,2015-01-02T19:17:00,1235,36.0
SEA,SAN,AS,2015-01-02T17:29:00,2015-01-02T19:54:00,1050,-6.0
LAX,PDX,AS,2015-01-02T17:42:00,2015-01-02T20:15:00,834,7.0
JFK,SEA,B6,2015-01-02T17:35:00,2015-01-02T21:13:00,2422,0.0
ECP,ATL,DL,2015-01-02T17:47:00,2015-01-02T20:10:00,240,12.0
SJU,JFK,DL,2015-01-02T17:29:00,2015-01-02T20:47:00,1598,-6.0
MSP,ABQ,DL,2015-01-02T17:31:00,2015-01-02T19:43:00,981,-4.0
HNL,ATL,DL,2015-01-02T17:46:00,2015-01-03T07:27:00,4502,11.0
GRR,ATL,DL,2015-01-02T17:41:00,2015-01-02T19:43:00,640,6.0
DTW,IND,DL,2015-01-02T17:25:00,2015-01-02T18:37:00,231,-10.0
OMA,ATL,DL,2015-01-02T17:33:00,2015-01-02T20:56:00,821,-2.0
DTW,SFO,DL,2015-01-02T17:39:00,2015-01-02T19:43:00,2079,4.0
ATL,TPA,DL,2015-01-02T17:32:00,2015-01-02T18:56:00,406,-3.0
BWI,ATL,DL,2015-01-02T17:50:00,2015-01-02T19:56:00,577,15.0
DTW,PHL,DL,2015-01-02T17:30:00,2015-01-02T18:56:00,453,-5.0
MSP,SEA,DL,2015-01-02T17:35:00,2015-01-02T19:13:00,1399,0.0
DTW,ATL,DL,2015-01-02T17:32:00,2015-01-02T19:35:00,594,-3.0
MSP,LGA,DL,2015-01-02T17:46:00,2015-01-02T21:03:00,1020,11.0
ATL,MSY,DL,2015-01-02T17:31:00,2015-01-02T18:01:00,425,-4.0
ATL,PBI,DL,2015-01-02T17:34:00,2015-01-02T19:18:00,545,-1.0
DSM,IAH,EV,2015-01-02T17:34:00,2015-01-02T20:24:00,802,-1.0
IAH,CRP,EV,2015-01-02T18:03:00,2015-01-02T19:05:00,201,28.0
IAH,LFT,EV,2015-01-02T19:03:00,2015-01-02T19:48:00,201,88.0
GPT,ATL,EV,2015-01-02T17:52:00,2015-01-02T20:07:00,352,17.0
MBS,DTW,EV,2015-01-02T17:27:00,2015-01-02T18:06:00,98,-8.0
MSP,IAH,EV,2015-01-02T17:35:00,2015-01-02T20:48:00,1034,0.0
DEN,PDX,F9,2015-01-02T17:42:00,2015-01-02T19:21:00,991,7.0
PHX,SFO,F9,2015-01-02T17:50:00,2015-01-02T19:06:00,651,15.0
PIA,DFW,MQ,2015-01-02T19:06:00,2015-01-02T21:41:00,672,91.0
FSD,ORD,MQ,2015-01-02T17:31:00,2015-01-02T19:12:00,462,-4.0
CLE,ORD,MQ,2015-01-02T18:14:00,2015-01-02T18:30:00,315,39.0
DTW,CVG,OO,2015-01-02T17:33:00,2015-01-02T18:41:00,229,-2.0
PDX,SEA,OO,2015-01-02T20:27:00,2015-01-02T21:23:00,129,172.0
DTW,MKE,OO,2015-01-02T17:26:00,2015-01-02T17:30:00,237,-9.0
IAH,BOI,OO,2015-01-02T18:14:00,2015-01-02T21:07:00,1482,39.0
SMF,SFO,OO,2015-01-02T18:08:00,2015-01-02T18:43:00,86,33.0
IAH,AUS,OO,2015-01-02T17:35:00,2015-01-02T18:52:00,140,0.0
PHX,PSP,OO,2015-01-02T17:35:00,2015-01-02T17:50:00,261,0.0
DEN,BOS,UA,2015-01-02T18:22:00,2015-01-02T23:37:00,1754,46.0
DEN,LGA,UA,2015-01-02T17:49:00,2015-01-02T23:01:00,1620,13.0
EWR,FLL,B6,2015-01-02T17:37:00,2015-01-02T20:39:00,1065,1.0
BOS,RSW,B6,2015-01-02T17:35:00,2015-01-02T20:56:00,1249,-1.0
FNT,ATL,DL,2015-01-02T17:31:00,2015-01-02T19:53:00,645,-5.0
DEN,TUL,EV,2015-01-02T18:06:00,2015-01-02T20:55:00,541,30.0
IAH,ELP,EV,2015-01-02T17:39:00,2015-01-02T18:34:00,667,3.0
IAH,DAL,EV,2015-01-02T17:53:00,2015-01-02T18:52:00,216,17.0
HLN,SLC,OO,2015-01-02T17:34:00,2015-01-02T19:29:00,402,-2.0
PHX,SMF,US,2015-01-02T17:37:00,2015-01-02T18:34:00,647,0.0
MCO,JFK,B6,2015-01-02T17:36:00,2015-01-02T20:10:00,944,-1.0
IAD,ATL,DL,2015-01-02T17:35:00,2015-01-02T19:56:00,534,-2.0
ACY,RSW,NK,2015-01-02T17:33:00,2015-01-02T22:31:00,982,-4.0
SFO,EUG,OO,2015-01-02T17:27:00,2015-01-02T19:02:00,451,-10.0
CPR,DEN,OO,2015-01-02T17:30:00,2015-01-02T18:39:00,230,-7.0
ICT,DEN,UA,2015-01-02T17:39:00,2015-01-02T18:06:00,420,1.0
FLL,EWR,B6,2015-01-02T17:38:00,2015-01-02T20:20:00,1065,0.0
ATL,PNS,DL,2015-01-02T17:34:00,2015-01-02T17:43:00,271,-4.0
GSP,EWR,EV,2015-01-02T17:35:00,2015-01-02T19:22:00,594,-3.0
IAH,TUL,EV,2015-01-02T17:34:00,2015-01-02T18:53:00,429,-4.0
SBA,SFO,OO,2015-01-02T17:31:00,2015-01-02T18:45:00,262,-7.0
ORD,LNK,OO,2015-01-02T17:38:00,2015-01-02T19:20:00,466,0.0
IAH,OKC,UA,2015-01-02T17:45:00,2015-01-02T18:58:00,395,6.0
CLE,SFO,UA,2015-01-02T17:46:00,2015-01-02T19:56:00,2161,7.0
JFK,RDU,B6,2015-01-02T17:34:00,2015-01-02T19:16:00,427,-5.0
HSV,ATL,DL,2015-01-02T17:37:00,2015-01-02T19:44:00,151,-2.0
